# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
P2U-Bardon-LWS02;601;2022-05-01 23:10:01 UTC;-1;7.16;0.16;3.22;0.02;0.32;89.12
P2U-Bardon-LWS02;599;2022-05-01 23:20:01 UTC;-1;7.11;0.57;3.23;0.01;0.31;88.76
P2U-Bardon-LWS02;600;2022-05-01 23:30:01 UTC;-1;6.60;8.93;3.74;6.33;0.31;74.10
P2U-Bardon-LWS02;600;2022-05-01 23:40:01 UTC;-1;7.32;1.00;3.48;2.35;0.32;85.53
P2U-Bardon-LWS02;600;2022-05-01 23:50:01 UTC;-1;7.29;0.09;3.25;0.58;0.32;88.47
P2U-Bardon-LWS02;600;2022-05-02 00:00:01 UTC;-1;6.91;0.16;4.32;1.79;0.37;86.46
P2U-Bardon-LWS02;600;2022-05-02 00:10:01 UTC;-1;7.49;0.16;3.26;0.11;0.33;88.66
P2U-Bardon-LWS02;600;2022-05-02 00:20:01 UTC;-1;7.41;0.57;3.22;0.02;0.32;88.46
P2U-Bardon-LWS02;599;2022-05-02 00:30:01 UTC;-1;7.14;0.92;3.30;0.01;0.33;88.30
P2U-Bardon-LWS02;600;2022-05-02 00:40:01 UTC;-1;7.40;0.03;3.27;0.06;0.32;88.93
P2U-Bardon-LWS02;600;2022-05-02 00:50:01 UTC;-1;7.43;0.09;3.19;0.02;0.32;88.96
P2U-Bardon-LWS02;600;2022-05-02 01:00:01 UTC;-1;7.35;0.17;4.48;0.01;0.32;87.66
P2U-Bardon-LWS02;600;2022-05-02 01:10:01 UTC;-1;6.93;0.17;3.11;0.01;0.32;89.46
P2U-Bardon-LWS02;600;2022-05-02 01:20:01 UTC;-1;7.02;0.58;3.14;0.01;0.32;88.93
P2U-Bardon-LWS02;600;2022-05-02 01:30:01 UTC;-1;7.09;0.88;3.30;0.00;0.33;88.39
P2U-Bardon-LWS02;600;2022-05-02 01:40:01 UTC;-1;7.19;0.03;3.16;0.03;0.32;89.28
P2U-Bardon-LWS02;600;2022-05-02 01:50:01 UTC;-1;7.20;0.09;3.19;0.00;0.32;89.19
P2U-Bardon-LWS02;600;2022-05-02 02:00:01 UTC;-1;7.18;0.17;4.43;0.06;0.32;87.85
P2U-Bardon-LWS02;600;2022-05-02 02:10:01 UTC;-1;6.90;0.17;3.12;0.01;0.31;89.49
P2U-Bardon-LWS02;600;2022-05-02 02:20:01 UTC;-1;7.39;0.59;3.18;0.03;0.32;88.49
P2U-Bardon-LWS02;600;2022-05-02 02:30:01 UTC;-1;6.68;0.90;3.28;0.01;0.32;88.82
P2U-Bardon-LWS02;600;2022-05-02 02:40:01 UTC;-1;7.25;0.03;3.24;0.07;0.32;89.10
P2U-Bardon-LWS02;600;2022-05-02 02:50:01 UTC;-1;7.35;0.12;3.29;0.15;0.32;88.77
P2U-Bardon-LWS02;600;2022-05-02 03:00:01 UTC;-1;7.22;0.17;4.41;0.02;0.31;87.88
P2U-Bardon-LWS02;600;2022-05-02 03:10:01 UTC;-1;7.08;0.17;3.16;0.01;0.32;89.27
P2U-Bardon-LWS02;600;2022-05-02 03:20:01 UTC;-1;7.25;0.59;3.22;0.02;0.33;88.60
P2U-Bardon-LWS02;600;2022-05-02 03:30:01 UTC;-1;7.03;0.87;3.30;0.01;0.32;88.46
P2U-Bardon-LWS02;600;2022-05-02 03:40:01 UTC;-1;7.34;0.03;3.29;0.04;0.32;88.97
P2U-Bardon-LWS02;600;2022-05-02 03:50:01 UTC;-1;7.30;0.09;3.19;0.01;0.35;89.07
P2U-Bardon-LWS02;600;2022-05-02 04:00:01 UTC;-1;7.33;0.17;4.50;0.02;0.32;87.67
P2U-Bardon-LWS02;600;2022-05-02 04:10:01 UTC;-1;7.24;0.17;3.20;0.04;0.32;89.03
P2U-Bardon-LWS02;600;2022-05-02 04:20:01 UTC;-1;7.16;0.59;3.16;0.01;0.32;88.76
P2U-Bardon-LWS02;600;2022-05-02 04:30:01 UTC;-1;7.22;0.89;3.33;0.01;0.33;88.22
P2U-Bardon-LWS02;600;2022-05-02 04:40:01 UTC;-1;7.43;0.03;3.25;0.03;0.32;88.94
P2U-Bardon-LWS02;600;2022-05-02 04:50:01 UTC;-1;7.37;0.09;3.20;0.01;0.32;89.01
P2U-Bardon-LWS02;601;2022-05-02 05:00:01 UTC;-1;7.32;0.17;4.43;0.02;0.32;87.75
P2U-Bardon-LWS02;599;2022-05-02 05:10:01 UTC;-1;7.24;0.17;3.20;0.04;0.32;89.03
P2U-Bardon-LWS02;600;2022-05-02 05:20:01 UTC;-1;7.13;0.59;3.17;0.01;0.31;88.79
P2U-Bardon-LWS02;601;2022-05-02 05:30:01 UTC;-1;6.98;0.84;3.29;0.01;0.32;88.56
P2U-Bardon-LWS02;600;2022-05-02 05:40:01 UTC;-1;7.32;0.03;3.28;0.06;0.32;88.99
P2U-Bardon-LWS02;600;2022-05-02 05:50:01 UTC;-1;6.86;0.09;3.15;0.00;0.31;89.58
P2U-Bardon-LWS02;600;2022-05-02 06:00:01 UTC;-1;6.65;0.17;4.33;0.04;0.30;88.51
P2U-Bardon-LWS02;600;2022-05-02 06:10:01 UTC;-1;6.82;0.17;3.13;0.00;0.31;89.57
P2U-Bardon-LWS02;600;2022-05-02 06:20:01 UTC;-1;7.06;0.59;3.22;0.01;0.32;88.81
P2U-Bardon-LWS02;599;2022-05-02 06:30:01 UTC;-1;7.34;0.86;3.36;0.04;0.32;88.08
P2U-Bardon-LWS02;600;2022-05-02 06:40:01 UTC;-1;7.22;0.03;3.21;0.17;0.32;89.05
P2U-Bardon-LWS02;600;2022-05-02 06:50:01 UTC;-1;7.39;0.09;3.21;0.03;0.32;88.95
P2U-Bardon-LWS02;601;2022-05-02 07:00:01 UTC;-1;7.18;0.17;4.44;0.04;0.32;87.84
P2U-Bardon-LWS02;599;2022-05-02 07:10:01 UTC;-1;7.30;0.17;3.23;0.02;0.32;88.97
P2U-Bardon-LWS02;600;2022-05-02 07:20:01 UTC;-1;7.51;0.59;3.29;0.12;0.32;88.17
P2U-Bardon-LWS02;600;2022-05-02 07:30:01 UTC;-1;7.07;0.85;3.23;0.01;0.32;88.52
P2U-Bardon-LWS02;600;2022-05-02 07:40:01 UTC;-1;7.56;0.03;3.32;0.02;0.32;88.75
P2U-Bardon-LWS02;600;2022-05-02 07:50:01 UTC;-1;7.50;0.09;3.23;0.01;0.32;88.85
P2U-Bardon-LWS02;601;2022-05-02 08:00:02 UTC;-1;7.43;0.17;4.36;0.06;0.32;87.67
P2U-Bardon-LWS02;599;2022-05-02 08:10:01 UTC;-1;7.52;0.17;3.21;0.02;0.32;88.76
P2U-Bardon-LWS02;600;2022-05-02 08:20:01 UTC;-1;7.42;0.59;3.23;0.03;0.32;88.42
P2U-Bardon-LWS02;601;2022-05-02 08:30:01 UTC;-1;7.14;0.84;3.30;0.02;0.32;88.39
P2U-Bardon-LWS02;600;2022-05-02 08:40:01 UTC;-1;7.49;0.03;3.30;0.03;0.32;88.83
P2U-Bardon-LWS02;600;2022-05-02 08:50:01 UTC;-1;7.58;0.09;3.22;0.01;0.32;88.77
P2U-Bardon-LWS02;600;2022-05-02 09:00:01 UTC;-1;7.23;0.17;4.51;0.02;0.32;87.75
P2U-Bardon-LWS02;600;2022-05-02 09:10:01 UTC;-1;7.42;0.17;3.23;0.01;0.32;88.84
P2U-Bardon-LWS02;600;2022-05-02 09:20:01 UTC;-1;7.41;0.67;3.21;0.01;0.32;88.37
P2U-Bardon-LWS02;599;2022-05-02 09:30:01 UTC;-1;7.37;0.75;3.30;0.00;0.33;88.26
P2U-Bardon-LWS02;600;2022-05-02 09:40:01 UTC;-1;8.05;0.03;3.26;0.03;0.33;88.29
P2U-Bardon-LWS02;600;2022-05-02 09:50:01 UTC;-1;7.36;0.09;3.17;0.01;0.32;89.04
P2U-Bardon-LWS02;601;2022-05-02 10:00:01 UTC;-1;7.20;0.17;4.37;0.01;0.32;87.94
P2U-Bardon-LWS02;600;2022-05-02 10:10:01 UTC;-1;7.21;0.17;3.16;0.01;0.32;89.12
P2U-Bardon-LWS02;600;2022-05-02 10:20:01 UTC;-1;7.39;0.79;3.27;0.02;0.33;88.20
P2U-Bardon-LWS02;599;2022-05-02 10:30:01 UTC;-1;7.34;0.61;3.30;0.01;0.32;88.42
P2U-Bardon-LWS02;600;2022-05-02 10:40:01 UTC;-1;7.61;0.03;3.25;0.07;0.32;88.72
P2U-Bardon-LWS02;600;2022-05-02 10:50:01 UTC;-1;7.42;0.09;3.20;0.01;0.32;88.96
P2U-Bardon-LWS02;600;2022-05-02 11:00:01 UTC;-1;7.22;0.17;4.37;0.01;0.32;87.91
P2U-Bardon-LWS02;600;2022-05-02 11:10:01 UTC;-1;7.45;0.17;3.21;0.01;0.32;88.84
P2U-Bardon-LWS02;600;2022-05-02 11:20:01 UTC;-1;7.51;0.90;3.28;0.02;0.34;87.95
P2U-Bardon-LWS02;600;2022-05-02 11:30:01 UTC;-1;7.26;0.51;3.28;0.01;0.32;88.62
