# hostname;interval;timestamp;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15;blocked
P2U-Bardon-LWS02;601;2022-05-01 23:10:01 UTC;8;559;0.78;0.81;0.78;0
P2U-Bardon-LWS02;599;2022-05-01 23:20:01 UTC;8;552;0.49;0.62;0.68;0
P2U-Bardon-LWS02;600;2022-05-01 23:30:01 UTC;6;559;1.76;1.66;1.24;0
P2U-Bardon-LWS02;600;2022-05-01 23:40:01 UTC;6;556;0.82;0.97;1.09;0
P2U-Bardon-LWS02;600;2022-05-01 23:50:01 UTC;1;555;0.64;0.73;0.92;0
P2U-Bardon-LWS02;600;2022-05-02 00:00:01 UTC;8;556;1.44;1.05;0.94;1
P2U-Bardon-LWS02;600;2022-05-02 00:10:01 UTC;11;557;0.49;0.70;0.82;0
P2U-Bardon-LWS02;600;2022-05-02 00:20:01 UTC;8;553;0.72;0.76;0.81;0
P2U-Bardon-LWS02;599;2022-05-02 00:30:01 UTC;5;554;0.58;0.65;0.75;0
P2U-Bardon-LWS02;600;2022-05-02 00:40:01 UTC;7;555;0.69;0.66;0.72;0
P2U-Bardon-LWS02;600;2022-05-02 00:50:01 UTC;10;555;0.88;0.73;0.71;0
P2U-Bardon-LWS02;600;2022-05-02 01:00:01 UTC;7;554;0.87;0.83;0.75;0
P2U-Bardon-LWS02;600;2022-05-02 01:10:01 UTC;5;552;0.69;0.65;0.68;0
P2U-Bardon-LWS02;600;2022-05-02 01:20:01 UTC;9;555;0.65;0.68;0.68;0
P2U-Bardon-LWS02;600;2022-05-02 01:30:01 UTC;9;552;0.46;0.62;0.66;0
P2U-Bardon-LWS02;600;2022-05-02 01:40:01 UTC;7;552;0.66;0.71;0.69;0
P2U-Bardon-LWS02;600;2022-05-02 01:50:01 UTC;6;557;0.64;0.65;0.67;0
P2U-Bardon-LWS02;600;2022-05-02 02:00:01 UTC;6;555;0.80;0.78;0.72;0
P2U-Bardon-LWS02;600;2022-05-02 02:10:01 UTC;8;554;0.43;0.60;0.66;0
P2U-Bardon-LWS02;600;2022-05-02 02:20:01 UTC;4;556;0.72;0.70;0.69;0
P2U-Bardon-LWS02;600;2022-05-02 02:30:01 UTC;5;558;0.45;0.56;0.64;0
P2U-Bardon-LWS02;600;2022-05-02 02:40:01 UTC;8;556;0.40;0.58;0.63;0
P2U-Bardon-LWS02;600;2022-05-02 02:50:01 UTC;4;555;0.60;0.60;0.62;0
P2U-Bardon-LWS02;600;2022-05-02 03:00:01 UTC;7;556;0.59;0.67;0.67;0
P2U-Bardon-LWS02;600;2022-05-02 03:10:01 UTC;9;555;0.78;0.76;0.71;0
P2U-Bardon-LWS02;600;2022-05-02 03:20:01 UTC;9;552;0.51;0.60;0.66;0
P2U-Bardon-LWS02;600;2022-05-02 03:30:01 UTC;8;553;0.69;0.70;0.68;0
P2U-Bardon-LWS02;600;2022-05-02 03:40:01 UTC;8;558;0.60;0.64;0.67;0
P2U-Bardon-LWS02;600;2022-05-02 03:50:01 UTC;8;555;0.67;0.61;0.65;0
P2U-Bardon-LWS02;600;2022-05-02 04:00:01 UTC;9;553;0.89;0.85;0.75;0
P2U-Bardon-LWS02;600;2022-05-02 04:10:01 UTC;7;556;0.68;0.69;0.69;1
P2U-Bardon-LWS02;600;2022-05-02 04:20:01 UTC;7;552;0.52;0.63;0.67;0
P2U-Bardon-LWS02;600;2022-05-02 04:30:01 UTC;9;555;0.79;0.76;0.72;0
P2U-Bardon-LWS02;600;2022-05-02 04:40:01 UTC;5;552;0.75;0.68;0.68;0
P2U-Bardon-LWS02;600;2022-05-02 04:50:01 UTC;5;555;0.46;0.61;0.66;0
P2U-Bardon-LWS02;601;2022-05-02 05:00:01 UTC;6;556;0.72;0.83;0.75;0
P2U-Bardon-LWS02;599;2022-05-02 05:10:01 UTC;5;552;0.71;0.72;0.74;0
P2U-Bardon-LWS02;600;2022-05-02 05:20:01 UTC;8;552;0.65;0.67;0.69;0
P2U-Bardon-LWS02;601;2022-05-02 05:30:01 UTC;4;556;0.71;0.75;0.72;0
P2U-Bardon-LWS02;600;2022-05-02 05:40:01 UTC;6;552;0.64;0.69;0.70;0
P2U-Bardon-LWS02;600;2022-05-02 05:50:01 UTC;7;555;0.60;0.60;0.65;0
P2U-Bardon-LWS02;600;2022-05-02 06:00:01 UTC;7;556;0.96;0.80;0.70;0
P2U-Bardon-LWS02;600;2022-05-02 06:10:01 UTC;7;555;0.75;0.66;0.66;0
P2U-Bardon-LWS02;600;2022-05-02 06:20:01 UTC;8;552;0.77;0.71;0.68;0
P2U-Bardon-LWS02;599;2022-05-02 06:30:01 UTC;8;552;0.65;0.71;0.69;0
P2U-Bardon-LWS02;600;2022-05-02 06:40:01 UTC;9;552;0.72;0.67;0.68;0
P2U-Bardon-LWS02;600;2022-05-02 06:50:01 UTC;8;552;0.70;0.74;0.71;0
P2U-Bardon-LWS02;601;2022-05-02 07:00:01 UTC;9;553;0.98;0.80;0.73;0
P2U-Bardon-LWS02;599;2022-05-02 07:10:01 UTC;10;552;0.78;0.73;0.70;0
P2U-Bardon-LWS02;600;2022-05-02 07:20:01 UTC;8;555;0.82;0.70;0.69;0
P2U-Bardon-LWS02;600;2022-05-02 07:30:01 UTC;8;555;0.68;0.68;0.68;0
P2U-Bardon-LWS02;600;2022-05-02 07:40:01 UTC;6;555;0.57;0.61;0.66;0
P2U-Bardon-LWS02;600;2022-05-02 07:50:01 UTC;7;557;0.87;0.77;0.71;0
P2U-Bardon-LWS02;601;2022-05-02 08:00:02 UTC;1;556;0.76;0.76;0.71;1
P2U-Bardon-LWS02;599;2022-05-02 08:10:01 UTC;7;554;0.44;0.65;0.67;0
P2U-Bardon-LWS02;600;2022-05-02 08:20:01 UTC;8;552;0.82;0.74;0.70;0
P2U-Bardon-LWS02;601;2022-05-02 08:30:01 UTC;4;556;0.61;0.68;0.69;0
P2U-Bardon-LWS02;600;2022-05-02 08:40:01 UTC;4;555;0.78;0.72;0.70;0
P2U-Bardon-LWS02;600;2022-05-02 08:50:01 UTC;7;552;0.92;0.84;0.76;0
P2U-Bardon-LWS02;600;2022-05-02 09:00:01 UTC;7;558;0.87;0.88;0.80;0
