# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
P2U-Bardon-LWS02;601;2022-05-01 23:10:01 UTC;7.10;2875.51;185285.91;0.07;187036.26;138.29;24.97;71.52;43.81
P2U-Bardon-LWS02;599;2022-05-01 23:20:01 UTC;7.09;4073.23;185383.34;0.05;187590.08;90.72;18.20;45.26;41.55
P2U-Bardon-LWS02;600;2022-05-01 23:30:01 UTC;60319.85;7652.07;180402.92;176.51;198267.46;16450.29;127.77;13977.43;84.31
P2U-Bardon-LWS02;600;2022-05-01 23:40:01 UTC;9313.13;5261.54;185134.95;8.21;191106.10;3492.32;0.00;3482.67;99.72
P2U-Bardon-LWS02;600;2022-05-01 23:50:01 UTC;291.75;4660.24;184822.58;4.64;187352.02;100.23;0.00;100.20;99.97
P2U-Bardon-LWS02;600;2022-05-02 00:00:01 UTC;5223.83;5278.33;184014.25;551.77;191608.11;1119.55;156.62;1271.08;99.60
P2U-Bardon-LWS02;600;2022-05-02 00:10:01 UTC;49.48;5107.41;185967.52;5.00;188646.34;28.83;18.49;47.22;99.77
P2U-Bardon-LWS02;600;2022-05-02 00:20:01 UTC;4.31;5405.70;185935.87;0.05;188573.25;51.15;0.00;51.07;99.84
P2U-Bardon-LWS02;599;2022-05-02 00:30:01 UTC;6.25;5271.93;186094.63;0.08;188248.27;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 00:40:01 UTC;4.22;5417.23;186434.85;0.03;189114.35;79.70;5.74;85.41;99.96
P2U-Bardon-LWS02;600;2022-05-02 00:50:01 UTC;31.04;5419.73;185025.35;0.01;187740.44;25.89;0.00;25.89;100.00
P2U-Bardon-LWS02;600;2022-05-02 01:00:01 UTC;0.82;5435.12;185653.42;0.01;193860.20;4.31;88.57;92.52;99.61
P2U-Bardon-LWS02;600;2022-05-02 01:10:01 UTC;0.42;5196.47;185040.33;0.00;187649.56;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 01:20:01 UTC;1.13;5397.22;184938.39;0.01;187601.60;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 01:30:01 UTC;0.35;5548.15;185243.73;0.00;187693.58;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 01:40:01 UTC;1.55;5518.26;185032.58;0.00;187637.10;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 01:50:01 UTC;0.01;5541.08;184896.39;0.00;187624.00;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 02:00:01 UTC;220.14;5719.96;185843.37;0.06;193983.70;49.43;284.94;52.14;15.59
P2U-Bardon-LWS02;600;2022-05-02 02:10:01 UTC;0.79;5003.38;185165.65;0.01;187664.78;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 02:20:01 UTC;13.94;5775.70;185127.91;0.12;187902.61;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 02:30:01 UTC;0.23;5464.83;185733.45;0.00;188130.25;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 02:40:01 UTC;0.89;5585.23;184954.06;0.00;187640.19;23.00;0.71;0.78;3.28
P2U-Bardon-LWS02;600;2022-05-02 02:50:01 UTC;421.40;5793.30;185303.55;0.32;188141.84;1212.71;39.18;59.98;4.79
P2U-Bardon-LWS02;600;2022-05-02 03:00:01 UTC;3.03;5429.46;185449.22;0.06;193693.52;89.74;369.32;55.47;12.08
P2U-Bardon-LWS02;600;2022-05-02 03:10:01 UTC;0.58;5360.82;184898.00;0.01;187554.67;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 03:20:01 UTC;5.42;5437.66;185667.63;0.06;188334.51;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 03:30:01 UTC;0.93;5409.08;186392.42;0.01;188754.56;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 03:40:01 UTC;1.74;5425.42;187073.91;0.02;189740.71;76.59;139.57;37.22;17.22
P2U-Bardon-LWS02;600;2022-05-02 03:50:01 UTC;1.07;5584.98;186384.33;0.01;189097.68;10.26;0.00;8.28;80.73
P2U-Bardon-LWS02;600;2022-05-02 04:00:01 UTC;4.18;5623.49;185258.92;0.08;193652.31;6.36;871.71;135.87;15.47
P2U-Bardon-LWS02;600;2022-05-02 04:10:01 UTC;6.11;5087.06;185987.32;0.09;188329.98;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 04:20:01 UTC;1.88;5586.19;184830.33;0.02;187558.33;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 04:30:01 UTC;4.52;5439.88;185623.30;0.07;187998.39;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 04:40:01 UTC;0.99;5832.76;185274.55;0.01;187934.63;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 04:50:01 UTC;3.53;5422.25;184821.78;0.03;187538.25;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;601;2022-05-02 05:00:01 UTC;1.91;5265.53;185319.71;0.06;193501.03;0.00;1158.73;41.66;3.60
P2U-Bardon-LWS02;599;2022-05-02 05:10:01 UTC;8.29;5758.86;185501.64;0.12;188185.82;0.00;0.00;0.00;0.00
P2U-Bardon-LWS02;600;2022-05-02 05:20:01 UTC;0.43;5257.40;184871.47;0.00;187528.18;0.00;0.00;0.00;0.00
